"","id","Phase","Predictability","TimeBin","SamplesInAOI","SamplesTotal","AOI","Elog","Weights","Prop","LogitAdjusted","ArcSin","Time","ot1","ot2","ot3","ot4","ot5","ot6","ot7"
"5905","SE76","Train","Pred",10,12,33,"RecipientAOI",-0.542324290825362,7.90441176470588,0.363636363636364,-0.559615787935423,0.647284848015653,1,0.232047740446129,-0.0741249316661101,-0.314270488500608,-0.249345384951578,0.0577419013640566,0.321857946140012,0.310403357235488
"5906","SE76","Train","Pred",11,17,33,"RecipientAOI",0.0588405000229334,8.49264705882353,0.515151515151515,0.0606246218164348,0.800551998380542,1.1,0.298347094859308,0.0741249316661101,-0.211651553480001,-0.357756421887046,-0.272211820716268,-0.0155966405618508,0.26116089829728
"5907","SE76","Train","Pred",12,21,35,"RecipientAOI",0.393904285707088,8.65972222222222,0.6,0.405465108108164,0.886077123792614,1.2,0.364646449272488,0.259437260831385,0.0352752589133335,-0.208691246100777,-0.385633412681379,-0.452302576293672,-0.415922912103075
"5908","SE76","Train","Pred",13,18,30,"RecipientAOI",0.392042087776024,7.45967741935484,0.6,0.405465108108164,0.886077123792614,1.3,0.430945803685667,0.481812055829716,0.458578365873336,0.3875694570443,0.29489613910929,0.20275632730406,0.125744136217209
"5909","SE78","Post","Unpred",0,13,24,"RecipientAOI",0.160342650075179,6.21,0.541666666666667,0.167054084663166,0.827113206702756,0,-0.430945803685667,0.481812055829716,-0.458578365873336,0.3875694570443,-0.29489613910929,0.202756327304059,-0.125744136217209
"5910","SE78","Post","Unpred",1,14,25,"RecipientAOI",0.231801614057324,6.41346153846154,0.56,0.241162056816888,0.845543104594842,0.1,-0.364646449272488,0.259437260831386,-0.0352752589133336,-0.208691246100777,0.385633412681379,-0.45230257629367,0.415922912103075
"5911","SE78","Post","Unpred",2,13,24,"RecipientAOI",0.160342650075179,6.21,0.541666666666667,0.167054084663166,0.827113206702756,0.2,-0.298347094859308,0.0741249316661101,0.211651553480001,-0.357756421887045,0.272211820716268,-0.0155966405618529,-0.261160898297281
"5912","SE78","Post","Unpred",3,9,21,"RecipientAOI",-0.27443684570176,5.39772727272727,0.428571428571429,-0.287682072451781,0.713724378944766,0.3,-0.232047740446129,-0.0741249316661101,0.314270488500608,-0.249345384951578,-0.0577419013640573,0.321857946140012,-0.310403357235485
"5913","SE78","Post","Unpred",4,11,21,"RecipientAOI",0.0909717782057268,5.48863636363636,0.523809523809524,0.0953101798043249,0.80921669470965,0.4,-0.165748386032949,-0.185312329165275,0.304649963342426,-0.0352335870040276,-0.286647296057282,0.262307136722036,0.0835363142701706
"5914","SE78","Post","Unpred",5,14,22,"RecipientAOI",0.534082485930258,5.35869565217391,0.636363636363636,0.559615787935423,0.923511478779244,0.5,-0.0994490316197694,-0.259437260831385,0.214858395199395,0.170747383173363,-0.299020560635294,-0.0354469103678429,0.329748608961211
"5915","SE78","Post","Unpred",6,12,24,"RecipientAOI",0,6.25,0.5,0,0.785398163397448,0.6,-0.0331496772065898,-0.29649972666444,0.0769642012654549,0.292709799725765,-0.123732645780122,-0.283575282942741,0.175865924779315
"5916","SE78","Post","Unpred",7,16,22,"RecipientAOI",0.931558204004943,4.66304347826087,0.727272727272727,0.980829253011726,1.02132908203727,0.7,0.0331496772065898,-0.29649972666444,-0.0769642012654549,0.292709799725765,0.123732645780122,-0.283575282942741,-0.175865924779311
"5917","SE78","Post","Unpred",8,20,26,"RecipientAOI",1.14862270924277,4.93518518518519,0.769230769230769,1.20397280432594,1.06970331352954,0.8,0.0994490316197694,-0.259437260831385,-0.214858395199395,0.170747383173363,0.299020560635294,-0.0354469103678425,-0.329748608961212
"5918","SE78","Post","Unpred",9,14,17,"RecipientAOI",1.42138568093116,2.81944444444444,0.823529411764706,1.54044504094715,1.13725841743906,0.9,0.165748386032949,-0.185312329165275,-0.304649963342426,-0.0352335870040272,0.286647296057282,0.262307136722035,-0.0835363142701757
"5919","SE78","Post","Unpred",10,13,19,"RecipientAOI",0.730887508542792,4.3875,0.684210526315789,0.773189888233482,0.974053179577323,1,0.232047740446129,-0.0741249316661101,-0.314270488500608,-0.249345384951578,0.0577419013640566,0.321857946140012,0.310403357235488
"5920","SE78","Post","Unpred",11,19,25,"RecipientAOI",1.09861228866811,4.875,0.76,1.15267950993839,1.05882363874542,1.1,0.298347094859308,0.0741249316661101,-0.211651553480001,-0.357756421887046,-0.272211820716268,-0.0155966405618508,0.26116089829728
"5921","SE78","Post","Unpred",12,16,22,"RecipientAOI",0.931558204004943,4.66304347826087,0.727272727272727,0.980829253011726,1.02132908203727,1.2,0.364646449272488,0.259437260831385,0.0352752589133335,-0.208691246100777,-0.385633412681379,-0.452302576293672,-0.415922912103075
"5922","SE78","Post","Unpred",13,13,19,"RecipientAOI",0.730887508542792,4.3875,0.684210526315789,0.773189888233482,0.974053179577323,1.3,0.430945803685667,0.481812055829716,0.458578365873336,0.3875694570443,0.29489613910929,0.20275632730406,0.125744136217209
"5923","SE78","Pre","Unpred",0,12,35,"RecipientAOI",-0.631271776841858,8.15972222222222,0.342857142857143,-0.650587566141149,0.625546089066075,0,-0.430945803685667,0.481812055829716,-0.458578365873336,0.3875694570443,-0.29489613910929,0.202756327304059,-0.125744136217209
"5924","SE78","Pre","Unpred",1,14,36,"RecipientAOI",-0.439366659783846,8.81756756756757,0.388888888888889,-0.451985123743057,0.673351617246763,0.1,-0.364646449272488,0.259437260831386,-0.0352752589133336,-0.208691246100777,0.385633412681379,-0.45230257629367,0.415922912103075
"5925","SE78","Pre","Unpred",2,16,36,"RecipientAOI",-0.217064505237827,9.14189189189189,0.444444444444444,-0.22314355131421,0.729727656226966,0.2,-0.298347094859308,0.0741249316661101,0.211651553480001,-0.357756421887045,0.272211820716268,-0.0155966405618529,-0.261160898297281
"5926","SE78","Pre","Unpred",3,12,36,"RecipientAOI",-0.672944473242426,8.27702702702703,0.333333333333333,-0.693147180559945,0.615479708670387,0.3,-0.232047740446129,-0.0741249316661101,0.314270488500608,-0.249345384951578,-0.0577419013640573,0.321857946140012,-0.310403357235485
"5927","SE78","Pre","Unpred",4,16,36,"RecipientAOI",-0.217064505237827,9.14189189189189,0.444444444444444,-0.22314355131421,0.729727656226966,0.4,-0.165748386032949,-0.185312329165275,0.304649963342426,-0.0352335870040276,-0.286647296057282,0.262307136722036,0.0835363142701706
"5928","SE78","Pre","Unpred",5,18,37,"RecipientAOI",-0.052643733485422,9.49342105263158,0.486486486486487,-0.0540672212702757,0.771883004162309,0.5,-0.0994490316197694,-0.259437260831385,0.214858395199395,0.170747383173363,-0.299020560635294,-0.0354469103678429,0.329748608961211
"5929","SE78","Pre","Unpred",6,22,35,"RecipientAOI",0.510825623765991,8.4375,0.628571428571429,0.526093095896779,0.915430399754645,0.6,-0.0331496772065898,-0.29649972666444,0.0769642012654549,0.292709799725765,-0.123732645780122,-0.283575282942741,0.175865924779315
"5930","SE78","Pre","Unpred",7,24,36,"RecipientAOI",0.672944473242426,8.27702702702703,0.666666666666667,0.693147180559945,0.955316618124509,0.7,0.0331496772065898,-0.29649972666444,-0.0769642012654549,0.292709799725765,0.123732645780122,-0.283575282942741,-0.175865924779311
"5931","SE78","Pre","Unpred",8,22,37,"RecipientAOI",0.372675285285174,9.17763157894737,0.594594594594595,0.382992252256106,0.880566342357648,0.8,0.0994490316197694,-0.259437260831385,-0.214858395199395,0.170747383173363,0.299020560635294,-0.0354469103678425,-0.329748608961212
"5932","SE78","Pre","Unpred",9,23,35,"RecipientAOI",0.631271776841858,8.15972222222222,0.657142857142857,0.650587566141149,0.945250237728822,0.9,0.165748386032949,-0.185312329165275,-0.304649963342426,-0.0352335870040272,0.286647296057282,0.262307136722035,-0.0835363142701757
"5933","SE78","Pre","Unpred",10,25,37,"RecipientAOI",0.712949807856125,8.38815789473684,0.675675675675676,0.7339691750802,0.96490520795565,1,0.232047740446129,-0.0741249316661101,-0.314270488500608,-0.249345384951578,0.0577419013640566,0.321857946140012,0.310403357235488
"5934","SE78","Pre","Unpred",11,17,35,"RecipientAOI",-0.0555698511548108,8.99305555555556,0.485714285714286,-0.0571584138399485,0.771110504762802,1.1,0.298347094859308,0.0741249316661101,-0.211651553480001,-0.357756421887046,-0.272211820716268,-0.0155966405618508,0.26116089829728
"5935","SE78","Pre","Unpred",12,14,36,"RecipientAOI",-0.439366659783846,8.81756756756757,0.388888888888889,-0.451985123743057,0.673351617246763,1.2,0.364646449272488,0.259437260831385,0.0352752589133335,-0.208691246100777,-0.385633412681379,-0.452302576293672,-0.415922912103075
"5936","SE78","Pre","Unpred",13,18,36,"RecipientAOI",0,9.25,0.5,0,0.785398163397448,1.3,0.430945803685667,0.481812055829716,0.458578365873336,0.3875694570443,0.29489613910929,0.20275632730406,0.125744136217209
